AnonId,PacketId,Mating,LPIP-01_LATVAL,LPIP-02_SUITAFIS,LPIP-03_EXEMVAL,LPIP-04_CONC,LPIP-05_INCCAT,LPIP-06_BORDERID,LPIP-07_BORDEREX,LPIP-08_EXBASIS,LPIP-09_DIFFCLTY,LPIP-10_LIMIT,LPIP-11_REPQUAL,LPIP-12_SUBPROC,LPIP-13_COMM
AAB,LBBIP_100,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,B_EASY,,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_110,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,C_MOD,,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_114,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,C_MOD,,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_128,N,A_OFVAL,B_NO,A_OFVAL,A_EX,,,A_NOBORDER,A_CLASS,A_VEASY,,C_SOMELOW,B_SOMEWHAT,
AAB,LBBIP_139,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,B_EASY,,A_YES,A_YES,
AAB,LBBIP_172,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,B_BORDER,B_MINUTIAE,D_DIFF,"A_AREA,B_FEATURES,C_QUAL",B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_195,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,A_CLASS,B_EASY,,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_201,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,B_EASY,,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_222,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,A_CLASS,A_VEASY,,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_226,N,A_OFVAL,B_NO,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,C_MOD,,B_SOMEHIGH,B_SOMEWHAT,n a
AAB,LBBIP_249,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,A_NOBORDER,B_MINUTIAE,C_MOD,,C_SOMELOW,B_SOMEWHAT,
AAB,LBBIP_255,N,A_OFVAL,A_YES,A_OFVAL,A_EX,,,B_BORDER,B_MINUTIAE,D_DIFF,E_BGSUBINTER,B_SOMEHIGH,B_SOMEWHAT,
AAB,LBBIP_274,M,A_OFVAL,A_YES,A_OFVAL,C_ID,,A_NOBORDER,,,B_EASY,,B_SOMEHIGH,B_SOMEWHAT,
